formula,E_B,alphax_el,alphay_el,alphaz_el,plasmafrequency_x,gap,gap_gw,gap_hse,emass_cbm,emass_vbm,alphax_lat,thickness,area,natoms,nspecies,dipz,ehull,hform,is_magnetic,layergroup
BiSCl,0.788,3.157,3.157,0.359,0.000,1.002,2.527,1.745,2.947,1.607,14.798,3.186,14.333,3,3,0.024,0.010,-0.658,No,p3m1
Pb2Se2,0.269,6.887,6.887,0.219,1.453,0.478,,0.096,0.583,0.777,,0.000,35.674,4,2,-0.000,0.415,-0.167,No,p4/mmm
BiSeCl,0.897,3.483,3.483,0.403,0.000,1.235,2.612,1.992,3.481,0.903,8.184,3.557,14.057,3,3,0.084,0.119,-0.561,No,p3m1
Pb2Te2,0.442,12.150,12.139,0.455,0.000,0.445,1.246,0.878,0.079,0.080,126.133,3.338,21.527,4,2,-0.000,0.075,-0.346,No,p4/nmm
Pb2Te2,0.717,4.623,4.621,0.363,0.000,0.050,,0.385,0.574,0.014,,3.152,30.987,4,2,-0.000,0.260,-0.161,No,p4/nmm
Pb2Te2,0.322,10.140,10.140,0.235,0.000,0.271,,0.287,0.291,0.443,,0.000,40.158,4,2,-0.000,0.429,0.008,No,p4/mmm
BiSI,0.581,4.476,4.476,0.422,0.000,0.777,2.042,1.474,3.471,0.463,14.172,3.515,15.226,3,3,-0.034,0.014,-0.412,No,p3m1
BiSI,0.504,4.107,4.107,0.448,0.000,0.401,1.733,1.178,0.846,0.337,7.684,3.783,14.466,3,3,-0.012,0.140,-0.287,No,p3m1
BiSeI,0.674,4.964,4.964,0.440,0.000,0.607,1.772,1.216,1.694,2.504,10.952,3.642,15.808,3,3,-0.007,0.000,-0.443,No,p3m1
BiSeI,0.504,4.562,4.562,0.467,0.000,0.433,1.687,1.189,2.384,0.375,7.156,3.903,14.992,3,3,0.018,0.114,-0.328,No,p3m1
BiTeI,0.495,5.666,5.666,0.464,0.000,0.412,1.419,0.929,2.083,0.710,11.869,3.773,16.934,3,3,0.035,0.003,-0.371,No,p3m1
BiTeI,0.468,5.350,5.350,0.494,0.000,0.346,1.402,0.995,1.017,0.300,7.141,4.060,15.980,3,3,0.063,0.113,-0.261,No,p3m1
HfBrCl,0.845,4.764,4.764,0.379,0.000,0.832,1.926,1.361,0.753,0.377,0.345,3.573,10.189,3,3,0.020,0.018,-1.337,No,p3m1
TiBrCl,0.687,7.220,7.220,0.363,0.000,0.830,1.473,1.297,1.531,0.627,0.060,3.277,9.891,3,3,0.026,0.035,-1.326,No,p3m1
